index,filename,quality,width,height,psnr_db,ssim,bpp,compression_ratio,jpeg_q_match,jpeg_bpp,jpeg_psnr,jpeg_ssim,jpeg_opt_q,jpeg_opt_bpp,jpeg_opt_psnr,jpeg_opt_ssim,original_kb,compressed_kb,time_sec
1,0001.png,10,256,256,25.5402,0.700393,0.2542,94.3983,5,0.261,23.1133,0.463725,8,0.2372,24.7972,0.642228,192.0,2.03,0.208
1,0001.png,25,256,256,28.1433,0.831543,0.5944,40.3764,16,0.5872,27.044,0.784805,22,0.5944,27.8559,0.820842,192.0,4.76,0.164
1,0001.png,50,256,256,29.6051,0.882489,1.0153,23.6389,40,1.0126,29.2571,0.870797,45,1.0068,29.4941,0.878478,192.0,8.12,0.178
1,0001.png,75,256,256,30.9236,0.914683,1.5623,15.3617,70,1.5543,30.8105,0.91053,73,1.5774,31.0529,0.915436,192.0,12.5,0.195
1,0001.png,90,256,256,33.1052,0.950308,2.7296,8.7926,89,2.741,33.6123,0.953221,89,2.672,33.6123,0.953221,192.0,21.84,0.228
2,0002.png,10,256,256,23.1279,0.686263,0.3539,67.8105,5,0.3444,21.343,0.569734,8,0.34,22.7115,0.658837,192.0,2.83,0.153
2,0002.png,25,256,256,25.6238,0.807048,0.7755,30.9497,18,0.77,24.8178,0.772482,22,0.7678,25.3831,0.796893,192.0,6.2,0.167
2,0002.png,50,256,256,27.4743,0.868471,1.2773,18.7899,41,1.2754,27.1437,0.857976,45,1.2681,27.3977,0.864547,192.0,10.22,0.195
2,0002.png,75,256,256,29.7307,0.915491,1.9931,12.0415,71,1.9818,29.5745,0.912184,73,2.0121,29.803,0.916126,192.0,15.94,0.21
2,0002.png,90,256,256,33.14,0.959318,3.3368,7.1924,89,3.3519,33.1262,0.959126,89,3.2874,33.1262,0.959126,192.0,26.69,0.251
3,0003.png,10,256,256,26.3324,0.799852,0.2368,101.3705,3,0.2416,22.1809,0.659043,8,0.2433,25.636,0.775459,192.0,1.89,0.151
3,0003.png,25,256,256,29.1756,0.885948,0.503,47.7146,16,0.4988,28.0158,0.853843,21,0.4963,28.8511,0.876814,192.0,4.02,0.16
3,0003.png,50,256,256,30.8898,0.92442,0.8251,29.0889,39,0.8258,30.4947,0.916027,44,0.8281,30.8219,0.92213,192.0,6.6,0.171
3,0003.png,75,256,256,32.6817,0.950558,1.286,18.6619,70,1.2856,32.4966,0.947776,72,1.2803,32.6846,0.94958,192.0,10.29,0.18
3,0003.png,90,256,256,35.4615,0.972019,2.2222,10.8002,89,2.2454,35.7488,0.972316,89,2.1962,35.7488,0.972316,192.0,17.78,0.212
4,0004.png,10,256,256,29.7335,0.855296,0.1016,236.1658,1,0.2086,20.5345,0.761486,4,0.0991,23.806,0.793284,192.0,0.81,0.145
4,0004.png,25,256,256,33.5528,0.900656,0.2045,117.3779,1,0.2086,20.5345,0.761486,18,0.2075,32.5452,0.891888,192.0,1.64,0.146
4,0004.png,50,256,256,36.0593,0.933924,0.3531,67.9775,26,0.3553,33.9954,0.910527,41,0.3569,35.5569,0.928715,192.0,2.82,0.163
4,0004.png,75,256,256,38.249,0.953717,0.6107,39.3,65,0.6119,37.3814,0.946585,70,0.6025,37.8651,0.950961,192.0,4.89,0.188
4,0004.png,90,256,256,41.1992,0.970532,1.2139,19.7713,88,1.223,40.8876,0.967941,89,1.2195,41.0832,0.968761,192.0,9.71,0.243
5,0005.png,10,256,256,26.9491,0.82913,0.3529,68.0069,5,0.3611,23.6135,0.737639,8,0.35,25.9838,0.802751,192.0,2.82,0.156
5,0005.png,25,256,256,30.0969,0.901318,0.6778,35.4105,18,0.6775,28.9967,0.881129,22,0.6807,29.6457,0.894085,192.0,5.42,0.167
5,0005.png,50,256,256,32.3252,0.934943,1.0566,22.7138,41,1.0575,31.7611,0.927667,45,1.0538,32.0433,0.931721,192.0,8.45,0.184
5,0005.png,75,256,256,34.4594,0.957141,1.5759,15.2293,70,1.567,33.965,0.952967,72,1.5668,34.1806,0.954954,192.0,12.61,0.195
5,0005.png,90,256,256,37.4847,0.975701,2.6553,9.0387,89,2.6974,37.2174,0.974409,89,2.6147,37.2174,0.974409,192.0,21.24,0.222
6,0006.png,10,256,256,25.4906,0.624782,0.2702,88.8072,4,0.2681,22.3414,0.484432,8,0.2686,24.8003,0.593608,192.0,2.16,0.152
6,0006.png,25,256,256,28.1067,0.747722,0.6156,38.9834,19,0.6223,27.5383,0.719469,22,0.611,27.9187,0.73815,192.0,4.93,0.162
6,0006.png,50,256,256,29.8194,0.81852,1.0765,22.2937,42,1.0713,29.6245,0.810106,45,1.0669,29.8088,0.817936,192.0,8.61,0.178
6,0006.png,75,256,256,31.8778,0.880658,1.7342,13.8392,71,1.7324,31.864,0.881134,73,1.7482,32.0834,0.886534,192.0,13.87,0.203
6,0006.png,90,256,256,35.893,0.950782,2.9898,8.0274,89,2.9939,35.879,0.949196,89,2.9382,35.879,0.949196,192.0,23.92,0.237
7,0007.png,10,256,256,23.4339,0.656805,0.3553,67.5484,6,0.3636,21.896,0.54404,9,0.3665,23.1546,0.637509,192.0,2.84,0.154
7,0007.png,25,256,256,25.7749,0.797543,0.8229,29.1649,19,0.824,25.1482,0.765879,23,0.8342,25.6344,0.790299,192.0,6.58,0.167
7,0007.png,50,256,256,27.5199,0.865258,1.3772,17.4265,43,1.3845,27.2235,0.854374,46,1.38,27.4263,0.861065,192.0,11.02,0.192
7,0007.png,75,256,256,29.6233,0.916613,2.1785,11.0165,72,2.1782,29.4832,0.913239,73,2.1687,29.6064,0.91557,192.0,17.43,0.218
7,0007.png,90,256,256,33.4456,0.966065,3.7004,6.4858,89,3.7051,33.4494,0.964557,89,3.6322,33.4494,0.964557,192.0,29.6,0.258
8,0008.png,10,256,256,25.1823,0.649763,0.2495,96.1937,4,0.2592,22.1473,0.518178,8,0.2501,24.6157,0.624434,192.0,2.0,0.149
8,0008.png,25,256,256,27.4537,0.745848,0.5437,44.1407,17,0.5387,26.7992,0.715939,22,0.5499,27.4368,0.742418,192.0,4.35,0.16
8,0008.png,50,256,256,28.8381,0.794948,0.9087,26.4116,41,0.9165,28.7377,0.790214,44,0.9023,28.9323,0.796068,192.0,7.27,0.175
8,0008.png,75,256,256,30.3477,0.835633,1.4247,16.846,70,1.4131,30.4435,0.8379,72,1.4198,30.6036,0.842284,192.0,11.4,0.197
8,0008.png,90,256,256,32.3882,0.879372,2.5088,9.5664,89,2.5271,32.9331,0.89036,89,2.4661,32.9331,0.89036,192.0,20.07,0.227
9,0009.png,10,256,256,23.5557,0.731394,0.4506,53.2578,6,0.4385,21.6147,0.638941,9,0.4658,23.232,0.716765,192.0,3.61,0.159
9,0009.png,25,256,256,26.3233,0.836423,0.8977,26.7357,20,0.8942,25.6681,0.814521,23,0.9084,26.1252,0.830614,192.0,7.18,0.171
9,0009.png,50,256,256,28.7237,0.893317,1.4352,16.7219,43,1.4283,28.2383,0.883654,46,1.4398,28.5169,0.889385,192.0,11.48,0.187
9,0009.png,75,256,256,31.4751,0.932834,2.1526,11.1492,72,2.1652,31.122,0.929636,73,2.1619,31.2722,0.931278,192.0,17.22,0.28
9,0009.png,90,256,256,35.6504,0.969185,3.4885,6.8798,89,3.5303,35.3561,0.967619,89,3.4375,35.3561,0.967619,192.0,27.91,0.25
10,0010.png,10,256,256,26.7095,0.716472,0.2519,95.2731,4,0.2529,23.5585,0.520653,8,0.2489,26.0065,0.679748,192.0,2.02,0.157
10,0010.png,25,256,256,29.8159,0.837159,0.5733,41.8638,18,0.5834,28.9681,0.807015,22,0.571,29.6109,0.829364,192.0,4.59,0.169
10,0010.png,50,256,256,31.8005,0.887527,0.9463,25.3614,40,0.9375,31.3511,0.877416,45,0.9507,31.6864,0.885159,192.0,7.57,0.18
10,0010.png,75,256,256,33.5468,0.920064,1.4717,16.3077,70,1.4592,33.2955,0.91625,72,1.4589,33.4623,0.919214,192.0,11.77,0.196
10,0010.png,90,256,256,35.873,0.950368,2.5393,9.4514,89,2.5607,35.9062,0.950777,89,2.4923,35.9062,0.950777,192.0,20.31,0.224
11,0011.png,10,256,256,26.1557,0.785694,0.2944,81.5209,4,0.2871,21.5389,0.586878,8,0.2889,25.4619,0.7562,192.0,2.36,0.157
11,0011.png,25,256,256,29.5124,0.886407,0.5986,40.0944,17,0.597,28.2082,0.855548,22,0.6058,29.1457,0.87999,192.0,4.79,0.167
11,0011.png,50,256,256,31.8461,0.927334,0.9531,25.1803,40,0.9534,31.2224,0.9185,45,0.9558,31.6166,0.924435,192.0,7.62,0.181
11,0011.png,75,256,256,34.0179,0.950948,1.4389,16.6794,70,1.4395,33.657,0.948658,72,1.4354,33.8836,0.950436,192.0,11.51,0.192
11,0011.png,90,256,256,36.7348,0.970612,2.3513,10.207,88,2.3241,36.6007,0.970005,89,2.3312,36.8621,0.971239,192.0,18.81,0.216
12,0012.png,10,256,256,21.4517,0.794081,0.6231,38.5166,7,0.6288,20.2124,0.733598,9,0.6271,21.1634,0.779705,192.0,4.98,0.168
12,0012.png,25,256,256,24.4628,0.892024,1.1909,20.152,20,1.177,23.7572,0.8746,23,1.1941,24.2245,0.886488,192.0,9.53,0.183
12,0012.png,50,256,256,26.9663,0.935104,1.7985,13.3446,44,1.8099,26.5947,0.930118,46,1.7924,26.7601,0.932369,192.0,14.39,0.208
12,0012.png,75,256,256,29.6161,0.962091,2.6021,9.2235,71,2.5872,29.1533,0.95838,73,2.6107,29.4066,0.960397,192.0,20.82,0.229
12,0012.png,90,256,256,32.6342,0.980202,4.0242,5.9638,88,3.9868,32.3376,0.978708,89,3.9514,32.6019,0.979908,192.0,32.19,0.26
13,0013.png,10,256,256,33.9277,0.972879,0.0674,356.0933,1,0.2073,27.312,0.941337,1,0.089,27.312,0.941337,192.0,0.54,0.141
13,0013.png,25,256,256,38.0334,0.973668,0.0863,278.2353,1,0.2073,27.312,0.941337,1,0.089,27.312,0.941337,192.0,0.69,0.143
13,0013.png,50,256,256,41.1044,0.981957,0.107,224.3423,1,0.2073,27.312,0.941337,10,0.1066,33.9542,0.972902,192.0,0.86,0.144
13,0013.png,75,256,256,43.8974,0.984665,0.142,169.0161,1,0.2073,27.312,0.941337,38,0.1427,40.5715,0.980499,192.0,1.14,0.146
13,0013.png,90,256,256,45.8246,0.985816,0.3056,78.5215,79,0.3035,44.3489,0.98506,88,0.314,45.2388,0.985234,192.0,2.45,0.158
14,0014.png,10,256,256,22.945,0.794129,0.533,45.0252,7,0.5458,21.8187,0.7345,9,0.5421,22.6131,0.779381,192.0,4.26,0.18
14,0014.png,25,256,256,25.9115,0.894973,1.0567,22.7128,20,1.0541,25.2115,0.877075,23,1.0592,25.6726,0.888956,192.0,8.45,0.195
14,0014.png,50,256,256,28.5414,0.938975,1.611,14.8979,43,1.6108,27.9582,0.931221,46,1.6118,28.2602,0.935519,192.0,12.89,0.199
14,0014.png,75,256,256,31.7455,0.967562,2.3417,10.2489,71,2.3354,31.0559,0.96297,73,2.3497,31.3825,0.965147,192.0,18.73,0.213
14,0014.png,90,256,256,37.3338,0.989105,3.6445,6.5853,88,3.6044,36.1209,0.986253,89,3.5807,36.6647,0.987611,192.0,29.16,0.253
15,0015.png,10,256,256,24.025,0.746578,0.4143,57.9345,6,0.4165,22.3871,0.685648,8,0.3973,23.3921,0.724447,192.0,3.31,0.158
15,0015.png,25,256,256,26.9811,0.833267,0.8134,29.5052,20,0.812,26.5385,0.821924,22,0.8051,26.8661,0.831869,192.0,6.51,0.171
15,0015.png,50,256,256,29.0225,0.88103,1.2679,18.9285,43,1.2721,28.9472,0.880072,45,1.2595,29.0805,0.883762,192.0,10.14,0.184
15,0015.png,75,256,256,30.996,0.915232,1.8727,12.816,71,1.8865,31.1517,0.918439,72,1.856,31.2518,0.919801,192.0,14.98,0.201
15,0015.png,90,256,256,33.6818,0.947739,3.0427,7.8878,88,3.0051,34.1404,0.951526,89,3.0065,34.4526,0.954205,192.0,24.34,0.232
16,0016.png,10,256,256,26.4215,0.734743,0.2864,83.7967,5,0.2986,23.5585,0.589393,8,0.277,25.6649,0.694615,192.0,2.29,0.153
16,0016.png,25,256,256,29.2908,0.846382,0.6173,38.8765,18,0.6254,28.4057,0.816501,22,0.6188,28.9981,0.836565,192.0,4.94,0.166
16,0016.png,50,256,256,31.1506,0.893767,1.0195,23.542,41,1.025,30.7898,0.886009,45,1.0162,31.0136,0.890736,192.0,8.16,0.176
16,0016.png,75,256,256,32.9122,0.926334,1.5901,15.0931,71,1.5977,32.7466,0.923364,73,1.6053,32.9219,0.926121,192.0,12.72,0.193
16,0016.png,90,256,256,35.4703,0.957135,2.7429,8.7498,89,2.7584,35.5241,0.957366,89,2.6873,35.5241,0.957366,192.0,21.94,0.226
17,0017.png,10,256,256,28.5004,0.778081,0.2259,106.2244,1,0.2324,23.3457,0.576533,8,0.2333,27.4686,0.749698,192.0,1.81,0.145
17,0017.png,25,256,256,32.8028,0.883625,0.4655,51.5625,16,0.4661,30.8731,0.842554,21,0.4586,32.1361,0.868939,192.0,3.72,0.16
17,0017.png,50,256,256,35.2561,0.927147,0.7697,31.1804,38,0.7679,34.392,0.913308,44,0.7661,34.8398,0.920934,192.0,6.16,0.177
17,0017.png,75,256,256,37.5268,0.954171,1.1935,20.1092,69,1.1814,36.8287,0.947536,72,1.1962,37.1704,0.951262,192.0,9.55,0.183
17,0017.png,90,256,256,40.6955,0.976001,2.0497,11.7091,89,2.0706,40.2282,0.973605,89,2.0212,40.2282,0.973605,192.0,16.4,0.204
18,0018.png,10,256,256,23.6975,0.788293,0.4887,49.109,6,0.4745,21.8741,0.734247,9,0.509,23.4394,0.782735,192.0,3.91,0.162
18,0018.png,25,256,256,26.5951,0.870914,0.8975,26.7403,20,0.9048,26.0889,0.859553,22,0.8959,26.3625,0.866423,192.0,7.18,0.172
18,0018.png,50,256,256,28.7097,0.908707,1.358,17.6734,42,1.3534,28.3618,0.90578,45,1.3562,28.5876,0.90954,192.0,10.86,0.188
18,0018.png,75,256,256,30.7624,0.935164,1.9695,12.1858,71,1.986,30.6915,0.93609,72,1.9551,30.7945,0.936795,192.0,15.76,0.207
18,0018.png,90,256,256,33.6004,0.960896,3.1122,7.7115,88,3.1013,33.8144,0.963341,89,3.0812,34.0842,0.965156,192.0,24.9,0.236
19,0019.png,10,256,256,25.2342,0.705778,0.2917,82.2757,5,0.2969,22.8819,0.561777,8,0.2792,24.5864,0.67141,192.0,2.33,0.15
19,0019.png,25,256,256,28.2002,0.831869,0.6492,36.9677,19,0.6603,27.4568,0.807326,22,0.6469,27.9366,0.824419,192.0,5.19,0.168
19,0019.png,50,256,256,30.2014,0.888476,1.0659,22.5161,42,1.0657,29.8649,0.879953,45,1.0604,30.0753,0.885158,192.0,8.53,0.183
19,0019.png,75,256,256,32.3691,0.926738,1.6333,14.6942,71,1.6337,32.1977,0.924677,73,1.6471,32.4003,0.927372,192.0,13.07,0.196
19,0019.png,90,256,256,35.7824,0.962794,2.7374,8.7675,89,2.7507,35.8554,0.963199,89,2.6959,35.8554,0.963199,192.0,21.9,0.226
20,0020.png,10,256,256,27.7724,0.805862,0.1891,126.9053,1,0.2297,22.5241,0.683747,7,0.1869,26.346,0.7834,192.0,1.51,0.147
20,0020.png,25,256,256,31.8687,0.888085,0.3528,68.0304,12,0.3492,29.0736,0.840738,20,0.3525,31.3558,0.882459,192.0,2.82,0.154
20,0020.png,50,256,256,34.2998,0.919866,0.5594,42.9064,35,0.5596,33.3431,0.910672,43,0.5612,34.0084,0.917631,192.0,4.47,0.162
20,0020.png,75,256,256,36.6395,0.939632,0.8639,27.7822,69,0.8705,36.1776,0.937133,71,0.861,36.5012,0.939369,192.0,6.91,0.168
20,0020.png,90,256,256,39.2565,0.958336,1.5671,15.3145,88,1.5529,39.181,0.957227,89,1.557,39.3914,0.958616,192.0,12.54,0.191
21,0021.png,10,256,256,23.1465,0.740606,0.424,56.6063,6,0.4266,21.7309,0.664381,9,0.4402,23.0103,0.738621,192.0,3.39,0.156
21,0021.png,25,256,256,25.6572,0.842104,0.8499,28.2391,19,0.8409,25.0393,0.818373,22,0.8447,25.4387,0.833866,192.0,6.8,0.173
21,0021.png,50,256,256,27.7208,0.895433,1.3536,17.7308,42,1.3561,27.4194,0.888436,45,1.3436,27.6193,0.893591,192.0,10.83,0.193
21,0021.png,75,256,256,29.9101,0.931617,2.0272,11.8391,71,2.037,29.7624,0.930947,73,2.0487,30.0088,0.933777,192.0,16.22,0.205
21,0021.png,90,256,256,32.7972,0.960826,3.2623,7.3568,88,3.2095,32.9391,0.962423,89,3.2351,33.2244,0.964417,192.0,26.1,0.239
22,0022.png,10,256,256,23.0577,0.748163,0.4382,54.7655,6,0.433,21.6354,0.671122,9,0.4507,22.8369,0.736549,192.0,3.51,0.224
22,0022.png,25,256,256,25.5955,0.84883,0.892,26.9045,20,0.9014,25.0729,0.831268,23,0.906,25.4842,0.846125,192.0,7.14,0.175
22,0022.png,50,256,256,27.8533,0.90303,1.4414,16.6504,43,1.4368,27.4846,0.896005,46,1.4418,27.748,0.901528,192.0,11.53,0.194
22,0022.png,75,256,256,30.6708,0.943058,2.1826,10.9961,72,2.1913,30.3626,0.94023,73,2.1865,30.5108,0.941588,192.0,17.46,0.213
22,0022.png,90,256,256,34.7278,0.973469,3.5031,6.8512,89,3.5295,34.641,0.972706,89,3.4442,34.641,0.972706,192.0,28.02,0.247
23,0023.png,10,256,256,32.403,0.858736,0.1069,224.4704,1,0.2152,25.7169,0.637567,4,0.1051,27.1952,0.712633,192.0,0.86,0.147
23,0023.png,25,256,256,37.2362,0.935254,0.2134,112.484,1,0.2152,25.7169,0.637567,18,0.2133,35.6618,0.917443,192.0,1.71,0.148
23,0023.png,50,256,256,41.0356,0.968398,0.3378,71.0417,23,0.3407,36.739,0.933022,38,0.3362,39.8898,0.960428,192.0,2.7,0.157
23,0023.png,75,256,256,43.6581,0.980305,0.5204,46.1142,60,0.5203,41.6773,0.973361,69,0.5232,42.736,0.977494,192.0,4.16,0.166
23,0023.png,90,256,256,46.2926,0.987926,0.9348,25.6727,87,0.9142,45.3461,0.985662,89,0.947,45.6907,0.986357,192.0,7.48,0.185
24,0024.png,10,256,256,32.5928,0.699213,0.0681,352.423,1,0.2051,27.9408,0.577808,3,0.0863,27.9759,0.578274,192.0,0.54,0.142
24,0024.png,25,256,256,35.3715,0.79798,0.1283,187.0008,1,0.2051,27.9408,0.577808,16,0.1294,34.3373,0.733504,192.0,1.03,0.142
24,0024.png,50,256,256,36.7386,0.854861,0.2651,90.5193,22,0.2657,35.2559,0.78313,41,0.2644,36.4513,0.847001,192.0,2.12,0.151
24,0024.png,75,256,256,37.9347,0.892387,0.5509,43.5648,66,0.5504,37.4636,0.877562,72,0.5564,37.8547,0.888825,192.0,4.41,0.158
24,0024.png,90,256,256,39.6323,0.928804,1.308,18.3491,88,1.3016,39.4953,0.92472,89,1.2817,39.6698,0.927593,192.0,10.46,0.186
25,0025.png,10,256,256,24.9413,0.691107,0.296,81.0922,4,0.2894,22.0303,0.588385,8,0.2927,24.5016,0.676799,192.0,2.37,0.151
25,0025.png,25,256,256,27.5811,0.794726,0.6248,38.4113,18,0.6245,26.9723,0.769085,22,0.6328,27.4693,0.788963,192.0,5.0,0.164
25,0025.png,50,256,256,29.2043,0.850017,1.0395,23.0886,41,1.0336,29.0777,0.844398,45,1.0414,29.2533,0.850828,192.0,8.32,0.186
25,0025.png,75,256,256,30.7237,0.887112,1.6018,14.9831,71,1.6108,30.9545,0.890136,72,1.5947,31.045,0.891829,192.0,12.81,0.198
25,0025.png,90,256,256,33.1175,0.929408,2.7746,8.6498,89,2.7933,33.802,0.935527,89,2.7291,33.802,0.935527,192.0,22.2,0.231
26,0026.png,10,256,256,18.657,0.686001,0.6991,34.3278,7,0.6805,17.9949,0.637805,9,0.7014,18.5409,0.663603,192.0,5.59,0.168
26,0026.png,25,256,256,21.0086,0.8059,1.4153,16.9579,22,1.437,20.8312,0.788956,23,1.4065,20.9845,0.800445,192.0,11.32,0.192
26,0026.png,50,256,256,23.7945,0.884434,2.2739,10.5544,45,2.2686,23.4973,0.877318,47,2.2753,23.6989,0.879037,192.0,18.19,0.225
26,0026.png,75,256,256,26.8311,0.930678,3.3089,7.2531,72,3.3059,26.6301,0.927777,73,3.3086,26.7955,0.929993,192.0,26.47,0.246
26,0026.png,90,256,256,30.1866,0.961844,4.9807,4.8186,88,4.9302,30.3202,0.962387,89,4.8885,30.6449,0.9645,192.0,39.85,0.292
27,0027.png,10,256,256,22.824,0.690808,0.4203,57.1078,6,0.4138,21.5333,0.618308,9,0.4325,22.6669,0.685098,192.0,3.36,0.158
27,0027.png,25,256,256,25.2447,0.802948,0.8689,27.6227,20,0.8625,25.0027,0.790381,23,0.8799,25.3883,0.805493,192.0,6.95,0.175
27,0027.png,50,256,256,27.333,0.865515,1.3957,17.1952,42,1.385,27.2298,0.863522,46,1.4015,27.5569,0.871256,192.0,11.17,0.196
27,0027.png,75,256,256,29.5016,0.909144,2.1036,11.4089,71,2.1145,29.7488,0.914174,73,2.1185,29.9706,0.91786,192.0,16.83,0.21
27,0027.png,90,256,256,32.2463,0.94715,3.3873,7.0853,88,3.3307,32.836,0.952951,89,3.3425,33.1373,0.955671,192.0,27.1,0.241
28,0028.png,10,256,256,27.6228,0.771741,0.2469,97.2104,1,0.2435,21.5932,0.585149,8,0.252,26.8082,0.749714,192.0,1.98,0.149
28,0028.png,25,256,256,30.9859,0.855999,0.4863,49.3494,17,0.4927,29.9336,0.834662,22,0.4934,30.787,0.852268,192.0,3.89,0.159
28,0028.png,50,256,256,33.0058,0.895252,0.7828,30.6583,40,0.7823,32.6215,0.888275,44,0.7837,32.9748,0.894788,192.0,6.26,0.167
28,0028.png,75,256,256,34.6966,0.92293,1.2258,19.5783,70,1.2233,34.6358,0.920901,72,1.228,34.8027,0.923157,192.0,9.81,0.188
28,0028.png,90,256,256,36.9459,0.949992,2.1468,11.1796,89,2.1769,37.3354,0.951667,89,2.1185,37.3354,0.951667,192.0,17.17,0.207
29,0029.png,10,256,256,18.8908,0.72191,0.7109,33.7611,7,0.6968,18.1861,0.675407,9,0.712,18.7635,0.712961,192.0,5.69,0.169
29,0029.png,25,256,256,21.3434,0.834782,1.4182,16.9233,22,1.4338,21.1604,0.827075,23,1.4061,21.2885,0.831718,192.0,11.35,0.192
29,0029.png,50,256,256,23.6266,0.896411,2.2138,10.8411,45,2.2228,23.462,0.893058,47,2.2172,23.6177,0.896214,192.0,17.71,0.213
29,0029.png,75,256,256,25.8544,0.935207,3.2329,7.4237,72,3.2328,25.8778,0.934617,73,3.2308,26.0218,0.936494,192.0,25.86,0.245
29,0029.png,90,256,256,28.647,0.965938,5.0147,4.7859,88,4.9464,28.8814,0.966894,89,4.927,29.1286,0.968882,192.0,40.12,0.294
30,0030.png,10,256,256,25.0877,0.712584,0.3179,75.4842,5,0.3221,22.5455,0.608224,8,0.3137,24.4178,0.684573,192.0,2.54,0.154
30,0030.png,25,256,256,27.9014,0.81582,0.668,35.9265,19,0.6687,27.3206,0.79844,22,0.6639,27.7308,0.811485,192.0,5.34,0.168
30,0030.png,50,256,256,29.8285,0.868884,1.0919,21.979,42,1.0944,29.5909,0.862984,45,1.0938,29.8056,0.868054,192.0,8.74,0.189
30,0030.png,75,256,256,31.7123,0.905729,1.6806,14.2805,71,1.6884,31.6872,0.905151,73,1.7,31.894,0.908259,192.0,13.44,0.203
30,0030.png,90,256,256,34.6066,0.943593,2.8474,8.4288,89,2.8794,34.9576,0.945705,89,2.802,34.9576,0.945705,192.0,22.78,0.233
31,0031.png,10,256,256,25.1635,0.713022,0.2807,85.5096,3,0.27,20.6082,0.596195,8,0.291,24.8029,0.700033,192.0,2.25,0.158
31,0031.png,25,256,256,28.171,0.795653,0.521,46.0656,15,0.5188,27.2253,0.775311,21,0.5276,28.3471,0.805786,192.0,4.17,0.162
31,0031.png,50,256,256,29.9598,0.840307,0.7985,30.0578,36,0.802,29.9581,0.842956,42,0.7941,30.3694,0.850528,192.0,6.39,0.174
31,0031.png,75,256,256,31.3463,0.867657,1.1717,20.4824,68,1.174,32.0891,0.883931,71,1.1765,32.4003,0.889548,192.0,9.37,0.181
31,0031.png,90,256,256,33.3554,0.907578,1.9282,12.4468,88,1.9456,34.8776,0.928987,89,1.9354,35.0449,0.931107,192.0,15.43,0.201
32,0032.png,10,256,256,28.6601,0.756587,0.1622,148.0064,1,0.2188,22.5137,0.593087,7,0.1594,26.824,0.717663,192.0,1.3,0.147
32,0032.png,25,256,256,32.4073,0.867075,0.3674,65.3291,14,0.3693,30.2868,0.809868,21,0.3673,31.8959,0.854842,192.0,2.94,0.152
32,0032.png,50,256,256,34.5914,0.914334,0.63,38.0968,36,0.6316,33.613,0.896746,44,0.6364,34.2366,0.909202,192.0,5.04,0.162
32,0032.png,75,256,256,36.8301,0.94432,1.0251,23.412,69,1.0214,36.1571,0.93712,72,1.0253,36.5107,0.941155,192.0,8.2,0.176
32,0032.png,90,256,256,40.4032,0.97178,1.853,12.952,89,1.8784,39.9519,0.968865,89,1.8333,39.9519,0.968865,192.0,14.82,0.207
33,0033.png,10,256,256,26.9017,0.822021,0.2465,97.3548,2,0.2435,21.7661,0.506152,8,0.2546,26.1642,0.790153,192.0,1.97,0.157
33,0033.png,25,256,256,29.8002,0.887138,0.4565,52.5743,15,0.4521,28.3535,0.859306,21,0.4583,29.4462,0.88292,192.0,3.65,0.155
33,0033.png,50,256,256,31.9247,0.922521,0.7147,33.5795,38,0.7133,31.3276,0.914439,44,0.7207,31.7829,0.921886,192.0,5.72,0.199
33,0033.png,75,256,256,34.1148,0.948416,1.0715,22.3975,69,1.0684,33.747,0.946816,72,1.0773,34.144,0.950136,192.0,8.57,0.177
33,0033.png,90,256,256,37.1924,0.971011,1.789,13.4152,88,1.7708,37.287,0.971136,89,1.7841,37.5927,0.972577,192.0,14.31,0.273
34,0034.png,10,256,256,23.4182,0.777104,0.453,52.9762,6,0.4468,21.8749,0.704617,9,0.4688,23.2387,0.768264,192.0,3.62,0.164
34,0034.png,25,256,256,26.2371,0.865269,0.8655,27.7289,20,0.8751,25.7499,0.852774,22,0.8604,26.0619,0.860361,192.0,6.92,0.168
34,0034.png,50,256,256,28.361,0.907802,1.3312,18.0283,43,1.338,28.1532,0.902945,45,1.3239,28.2947,0.905849,192.0,10.65,0.19
34,0034.png,75,256,256,30.6322,0.938295,1.9785,12.1306,71,1.9808,30.5477,0.936459,72,1.9592,30.665,0.937995,192.0,15.83,0.205
34,0034.png,90,256,256,33.7699,0.965552,3.2147,7.4656,89,3.2656,34.3027,0.967312,89,3.1653,34.3027,0.967312,192.0,25.72,0.246
35,0035.png,10,256,256,25.3643,0.734694,0.3109,77.2034,5,0.3107,22.7033,0.593955,8,0.2991,24.6366,0.693796,192.0,2.49,0.156
35,0035.png,25,256,256,28.4273,0.85759,0.6836,35.1101,18,0.6808,27.4526,0.825268,22,0.6851,28.0668,0.846603,192.0,5.47,0.169
35,0035.png,50,256,256,30.5856,0.911164,1.1187,21.4529,41,1.1211,30.0238,0.900082,45,1.1174,30.2969,0.906214,192.0,8.95,0.177
35,0035.png,75,256,256,32.9539,0.945896,1.7073,14.0576,71,1.7124,32.5083,0.941016,72,1.6877,32.6175,0.942441,192.0,13.66,0.205
35,0035.png,90,256,256,36.4714,0.973825,2.845,8.4358,89,2.8691,36.2039,0.972304,89,2.8079,36.2039,0.972304,192.0,22.76,0.232
36,0036.png,10,256,256,28.3933,0.910816,0.1561,153.7802,1,0.2273,23.2824,0.854324,6,0.1564,27.6432,0.898241,192.0,1.25,0.143
36,0036.png,25,256,256,31.7185,0.932577,0.2725,88.0663,7,0.2737,28.08,0.905059,18,0.2689,30.5052,0.927572,192.0,2.18,0.148
